Text Snippet,URLFound,Day,Month,Year,Sentiment Value
"RIotBoard Android Boot Log (Hanging) - Pastebin.com Going through the manual I noticed section 5.2.2 1) which says to change the BUILD_TARGET_LOCATION in /device/fsl/riot_6solo/BoardConfig.mk. (The directory is actually /device/fsl/RIotBoard_6solo/) I double checked and saw that I still had:
BUILD_TARGET_LOCATION ?= sdmmc
 So I went back to MFGtool and tried to write a card in the SD slot. It didn't work. ",http://www.element14.com/community/thread/32894?start=0&tstart=0,21,5,2014,12112
"By distorted do you mean too low in pitch/ too slow in tempo? If so, then I also experience this on my new Riotboard, as well  as others. I don't have experience with Android so don't what the solution is. ",http://www.element14.com/community/thread/31606?start=0&tstart=0,20,3,2014,131
"She (Sorry, I forgot to get her name) told me that she and her team will be working diligently to resolve the issues that we all are having, and that she will have tangible results for us within a week or so. It'll be awhile before we see the results of my efforts, but meanwhile I suggest we continue the communication we have here on the community message board and also let their tech support department know by email our experiences with the RiotBoard ",http://www.element14.com/community/thread/32447?start=45&tstart=0,24,4,2014,31
8 GB seemed like a safe amount. 80 GB of HD just to play it safe.I tried to follow the instructions from v1.1 of the RIoT Board User Manual but found one typo. I'll just list the commands I used.Make sure everything is updated and install the necessary dependencies. ,http://www.element14.com/community/thread/32894?start=0&tstart=0,23,4,2014,211
already!!). Freescale will be present in Hall 4 stand 309 and the University Programs will have its own stand in the connecting hall between the East Entrance and Hall 4 with a demonstration of the student competition - The Freescale Cup!! 28.2 - 1.3.2012 ,http://www.element14.com/community/thread/12636?start=15&tstart=0,9,12,2011,2212
"“In order to also give our customers a massive time-to-market advantage with this platform, we are investing heavily in software support for the ARM processors.”Henri Richard, senior vice president of Sales and Marketing for Freescale said, “Our ecosystem of partners is an integral part of our go-to-market strategy. congatec is an ideal partner in every aspect of our collaboration, and our next generation i.MX products will be introduced into applications more quickly and easily thanks to congatec’s Qseven modules.”The first products resulting from the Freescale collaboration are expected to be available by the middle of 2012.About congatec AGcongatec AG has its head office in Deggendorf, Germany and is a leading supplier of industrial computer modules using the standard form factors Qseven, COM Express, XTX and ETX. congatec’s products can be used in a variety of industries and applications, such as industrial automation, medical technology, automotive supplies, aerospace and transportation. ",http://www.element14.com/community/thread/15498?start=0&tstart=0,22,11,2011,113111
"Compiling a binary to run on the Android shellTo test the SPI port I decided to use the spidev_test.c from:https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/plain/Documentation/spi/spidev_test.c?id=95b1ed2ac7ffe32… First I changed the spidev.h location to be:
#include </home/riot/android-imx6-jb4.3-1.0.0/kernel_imx/include/linux/spi/spidev.h>


and the device to be:
static const char *device = ""/dev/spidev0.0"";


 I cross compiled the binary using the android gcc in the prebuilts, with the --sysroot referring to the headers in the ndk 8 folder. riot@ubuntu:~/android-imx6-jb4.3-1.0.0$ '/home/riot/android-imx6-jb4.3-1.0.0/prebuilts/gcc/linux-x86/arm/arm-linux-androideabi-4.6/bin/arm-linux-androideabi-gcc-4.6.x-google' --sysroot='/home/riot/android-imx6-jb4.3-1.0.0/prebuilts/ndk/8/platforms/android-14/arch-arm'  -o ../spidev_test ../spidev_test.c


 Next I booted my Riotboard, remounted the filesystem so that I could write to it and made a directory to put the binary in. root@RIoTboard_6solo:/ # mount -w -o remount /dev/block/mmcblk0p5 /system
root@RIoTboard_6solo:/ # mkdir /system/lcdtest


 From my Windows pc I connected the mini-usb and pushed the binary into the directory. C:\>adb push spidev_test /system/lcdtest
853 KB/s (7868 bytes in 0.009s)


 Back in the serial shell I made the binary executable and tried it out. ",http://www.element14.com/community/thread/32894?start=0&tstart=0,27,6,2014,10112222111
"Greetings, Does anyone know where I may be able to find an Eagle Library for the MKL25Z series of Freescale processors? I checked the existing libraries and they don't seem to have it. ",http://www.element14.com/community/thread/36188?start=0&tstart=0,1,7,2014,11
"Phillip Lineburg wrote:
I am curious about the other Freescale board that Element14 is involved with; the dual core MarS Board. Just looking at the photos of the RIoT and MarS side by side makes me think they're very closely related. ",http://www.element14.com/community/thread/31606?start=0&tstart=0,24,2,2014,11
"It's also dandy as a media center, given that it has exactly the same processing power as a Roku 2. But I think people are finding that RasPi is pretty limited as a desktop, laptop, or tablet computer, and it won't cost much more for an i.MX6 Wandboard or Exynos 4412 Cortex-A9 Quad ODROID-U. I'm not sure about TI. ",http://www.element14.com/community/thread/21378?start=0&tstart=0,5,1,2013,111
"To minimize the development costs of such systems, congatec has combined all the necessary components in a comprehensive starter kit. The kit’s centrepiece is the new conga-QMX6 Qseven module, based on the Freescale i.MX6 ARM Cortex A9 processor. The module has an ingenious 3D-capable high-end HD graphics interface with extremely low power consumption. ",http://www.element14.com/community/thread/20731?start=0&tstart=0,15,11,2012,111
"Hi Ott, hi selsinork,thanks for the Information.I think you will agree, when i say:""respsonses in other threads"" or ""some rumblings in the background"" are not so good as an official statement from the manufacturer. I know, that i cant expect an organized roadmap for the riotboard... But some more informations will be usefull for planing projects. Thanks ",http://www.element14.com/community/thread/33334?start=0&tstart=0,28,4,2014,112
"Dezember 2013 - Altium Limited, ein weltweit führendes Unternehmen im Bereich Smart System Design Automation im 3D-Leiterplattendesign (Altium Designer) und in der Embedded-Software-Entwicklung (TASKING) kündigt einen neuen Major Release seiner TASKING C Compiler-Lösung für die Entwicklung von Embedded-Applikationen im Automotive Umfeld an. Unterstützt werden in diesem Release die auf Power Architecture®  basierenden Mikrocontroller-Familien Qorivva/5xxx von Freescale und die SPC5 Serie von STMicroelectronics. Neben verschiedenen Verbesserungen bei Code-Optimierungen in Bezug auf Geschwindigkeit und Größe bringt der neue Compiler Unterstützung für die MPC56xx und SPC56x Mikrocontroller-Serien, wobei die Benutzer durch die Auswahl des entsprechenden e200 Core-Levels auch Anwendungen für neue Bausteine entwickeln können. ",http://www.element14.com/community/thread/29437?start=0&tstart=0,18,12,2013,110
"This will allow the company to offer products with extremely low power requirements in the future. As a first step in that direction, congatec is expanding its Qseven product family with Freescale processors. Up until now, congatec has focused exclusively on x86-based COMs (Computer-on Modules). ",http://www.element14.com/community/thread/15498?start=0&tstart=0,22,11,2011,111
"post.user_wrote.label:
 
I want to install LINUX (Debian) on my RIOTBoard. How do I go about doing this; in the simplest of terms?Today the answer is probably that you don't. ",http://www.element14.com/community/thread/32447?start=45&tstart=0,19,4,2014,12
You can create one with debootstrap and qemu inside a virtual machine for example. Then pack the files into a tgz and flash it to the Riotboard. No need to compile the whole System from scratch. ,http://www.element14.com/community/thread/32011?start=0&tstart=0,18,3,2014,321
"congatec stellt sein BSP auf Basis der Version 1.5.1 (Dora) zur Verfügung, damit sich der Anwender sein applikationsspezifisches Yocto-Projekt aufbauen kann.Das Yocto-Projekt BSP ist ab sofort für das conga-QMX6 Modul verfügbar. Bestückt ist das Computer-On-Module (COM) mit der Freescale i.MX6 ARM Cortex A9 Prozessorfamilie, die von 1 bis 4 ARM-Cores skalierbar ist. Mit der modernen 3D-fähigen High End HD Grafikschnittstelle eignet es sich insbesondere für anspruchsvolle Multimedia-Anwendungen. ",http://www.element14.com/community/thread/31854?start=0&tstart=0,25,2,2014,011
"As far as I know the boot rom isn't something that we can program, it contains things like the 'secure boot' mode code. If we were able to overwrite it then it wouldn't be very secure.The likelyhood is that it's either mask programmed into the silicon and therefore completely unalterable, or possibly as a One-Time-Programmable (OTP) block that Freescale burn in during chip level testing. There must be some place to find this kind of information.. :-/ i'm confused
There is, it's all in the IMX6SDLRM document. ",http://www.element14.com/community/thread/32447?start=30&tstart=0,8,4,2014,11221
"I'm using PWM3 on pin 40 of the RIoTboard header. In my board-mx6dl_RIoTboard.h file I added:
/* Display Backlight PWM */
MX6DL_PAD_SD1_DAT1__PWM3_PWMO,
Then in board-mx6solo_RIoTboard.c I found a structure that was being used to initialize the backlight of the LVDS connector. Since I'm not using LVDS I just hijacked the structure. ",http://www.element14.com/community/thread/32894?start=0&tstart=0,17,7,2014,12111
"I'm quite confident that what I want is something like the iMX6_Platform_SDK but i'm not entirely sure. I know the files you have provided links to; but: i need to make defines corresponding to one of these configurations:valid_builds=( ""mx6dq""  ""sabre_ai""""a""           ""mx6dq""  ""sabre_ai"" ""b""           ""mx6dq""  ""sabre_ai"" ""c""           ""mx6dq""  ""evb""      ""a""           ""mx6dq""  ""smart_device""""a""           ""mx6dq""  ""smart_device"" ""b""           ""mx6dq""  ""smart_device"" ""c""           ""mx6sdl"" ""sabre_ai"" ""a""           ""mx6sdl"" ""sabre_ai"" ""b""           ""mx6sdl"" ""sabre_ai"" ""c""           ""mx6sdl"" ""evb""      ""a""           ""mx6sdl"" ""smart_device"" ""a""           ""mx6sdl"" ""smart_device"" ""b""           ""mx6sdl"" ""smart_device"" ""c""           ""mx6sl""  ""evk""      ""a"")my guess is: ""mx6sdl"" being ""solo/dualLite"", ""evb"" and ""b"" (not sure this directly corresponds to the freescale/iMX6 part-no).There must be some place to find this kind of information.. :-/ i'm confused ",http://www.element14.com/community/thread/32447?start=30&tstart=0,8,4,2014,21221
"The DSC can be applied to switch mode power supply field, phase shift full bridge layout is widely used in SMPS. As I am already a Freescale development tool user, can you tell me which DSC MC56F8xxx family support phase shift function for PWM module ? ",http://www.element14.com/community/thread/17916?start=0&tstart=0,23,4,2012,11
"I changed the init structure to match my needs. static struct spi_board_info imx6_RIoTboard_spi_devices[] __initdata = {
        {
                /*.modalias = ""ads7846"",*/
                 .modalias = ""spidev"",
                .bus_num = 0,
                .chip_select = 0,
                .max_speed_hz = 1500000,
                /*.irq = gpio_to_irq(RIoTboard_RES_TCH_INT),
                .platform_data = &ads7846_config,*/
                .mode= SPI_MODE_3
        },
};


 Then in the board initialization function I made sure that the correct SPI bus was being initialized. /*! ",http://www.element14.com/community/thread/32894?start=0&tstart=0,27,6,2014,11111111113
"La plate-forme informatique évolutive nCloud de Nimbic facilite l'analyse d'intégrité électromagnétique des conceptions complexes, de manière rentable et en temps quasi réel. Nimbic compte parmi ses clients, Texas Instruments, Renesas, nVidia, Toshiba, Qualcomm, Samsung, Freescale, LG & Panasonic. Pour de plus amples informations, visitez www.nimbic.com.. À propos d'AltiumAltium Limited (ASX:ALU) est un éditeur multinational de logiciels spécialisés en conception PCB 3D, conception électronique et développement de systèmes embarqués.Altium Designer, environnement unifié de conception électronique, relie tous les aspects de la création de produits électroniques en une seule application, proposée au tarif le plus abordable possible.Avec cette palette unique de technologies, Altium aide les concepteurs électroniciens à innover, à tirer parti des dispositifs et technologies les plus récents, à gérer leurs projets à travers de vastes 'écosystèmes' de conception et à créer des produits intelligents et connectés. ",http://www.element14.com/community/thread/31203?start=0&tstart=0,3,2,2014,11220
"Tower System are interchangeable and reusable modules to customize your design and reduce low level design Wanna test your Tower System knowledge, then?With more than 50 development modules in Freescale's growing Tower System portfolio, there may be a few things that you don't know about Freescale award-winning modular development platform. Now's your chance to find out, so get ready to put your knowledge to the test! ",http://www.element14.com/community/thread/17901?start=0&tstart=0,20,4,2012,11
It would be great if someone could recompile it for Jellybean. Then we could get rid of this slow audio performance on the RIoTboard... ,http://www.element14.com/community/thread/32447?start=90&tstart=0,25,6,2014,11
"Freescale's brand new i.MX6 family is ideal for the Qseven module form factor, which provides both standard PC interfaces as well as traditional industrial interfaces on the chip. “Freescale’s outstanding embedded expertise plus scalability and long term availability of at least 10 years of the i.MX6 family make these processors the perfect choice for ARM-based COMs,” says congatec CEO Gerhard Edi. The integrated graphics core is designed for multimedia applications with a video processor unit (VPU), 2D and 3D graphics (GPU2D/3D), four shaders with up to 200 MT/s (million triangles/second) and a dual stream of 1080p/720p. ",http://www.element14.com/community/thread/16870?start=0&tstart=0,28,2,2012,111
I may start a new development with the Freescale Kinetis Microcontroller family based on Arm Cortex-M4 core.Could you please tell me what JTAG signals do I need to be able to communicate with this MCU ? ,http://www.element14.com/community/thread/18070?start=0&tstart=0,3,5,2012,2
Arendarik Stanislav has been with Freescale as an Applications engineer since 2002 in our applications lab in Czech Republic. He is working in the Power Management group for the past 2 years and has been a key member in the development of the Solar Inverter reference design. ,http://www.element14.com/community/thread/12888?start=0&tstart=0,9,5,2011,11
"Hello MCU_userYou basically need the following signals: TMS, TDO, TDI, TCLK If you want to be able to reset the device via the debugger interface you also need RESET_b.JTAG_TRST is optional, you can leave it unconnected if desired. (This signal is used to reset the debug session, but doesn’t reset the device) The Kinetis Quick Reference User Guide (KQRUG.pdf in attachement) contains chapter “2.5.3 Debug Interface”Here you can find signal recommendations and a layout of the JTAG interface for 20 and 10 pins ",http://www.element14.com/community/thread/18070?start=0&tstart=0,4,5,2012,111
"Mit nCloud, der skalierbaren Cloud Compute Platform von Nimbic, vereinfacht sich außerdem die kosteneffektive und nahezu in Echtzeit erfolgende EM-Integrity-Analyse komplexer Designs. Zu den Kunden von Nimbic gehören Texas Instruments, Renesas, nVidia, Toshiba, Qualcomm, Samsung, Freescale, LG und Panasonic. Weitere Information auf www.nimbic.com. ",http://www.element14.com/community/thread/31107?start=0&tstart=0,30,1,2014,012
"0) Product Breif Freescale ... ultimately develop, debug and demonstrate the personality of their next great product without ... near-to-final product design. The board support package (BSP) for the i.MX28 EVK contains driversCreated: Nov 17, 2011Last modified: Jan 17, 2013Comments: 0Likes: 0Views: 1992Tags: freescale imx28 mcimx28evkMicrochip: DV164122 - PICkit Serial AnalyzerCreated by Sangeeta K in Dev Kits Learning Center: User's Guide For PICkit Serial Analyzer Product Breif Microchip: Errata For PICDEM LabCreated: Dec 5, 2011Last modified: Oct 27, 2013Comments: 0Likes: 0Views: 1111Tags: pic16f886 pickit pickit_serial_analyzer dv164122 ",http://www.element14.com/community/thread/32707?start=0&tstart=0,3,4,2014,31
"The Freescale Cup is your chance to learn about electrical (circuitry, interfacing and software design) and mechanical engineering (control theory) as well as sharpening your communication and team work skills. With a blend of high speed and high tech, Freescale supports the students of today to become the innovators of tomorrow. Where can you have access to the latest MCU technology and apply it hands-on in nationwide competitions? ",http://www.element14.com/community/thread/12636?start=0&tstart=0,18,4,2011,131
"Thank you for the specs. From the specs alone, it's kind of a toss-up, though I personally like the i.MX6 better because of superior documentation. The last time I looked the AllWinner chips were documented by ""confidential"" documents that people ""happened to find"" on the Internet, which didn't have much detail. ",http://www.element14.com/community/thread/29112?start=0&tstart=0,1,1,2014,311
I have an Element14 sabre-lite instead of one of the 3 boards that freescale offers. try to use new linux MX6Q-L3_10_17 kernel and system hangs after UBOOT phase Is latest BSP compatible with this board ? ,http://www.element14.com/community/thread/34131?start=0&tstart=0,28,5,2014,11
"The SL did the same even though it's built in China. e14 if you're listening, stop doing this, these useless psu's are going straight to landfill.A good example to follow would be the freescale i.MX5-QSB which came with a PSU that had a swappable plug and enough adapters to cover most of the world. Otherwise, rather than a wall-wart, just put in a PSU that has a standard IEC inlet. ",http://www.element14.com/community/thread/26469?start=0&tstart=0,19,8,2013,211
"If you use the search bar to find           ""All you have to do to have a chance""   (including the quotes)you get two results. Altera Nios II Embedded Evaluation KitCreated by Alistair Winning in RoadTestAll you have to do to have a chance of testing the Nios II evaluation kit is to click on the attend tab aboveCreated: Aug 5, 2009Last modified: Nov 3, 2009Comments: 0Likes: 0Views: 69
Freescale Accelerometer RD3803MMA7660FC kitCreated by Alistair Winning in RoadTestWe have 50 of Freescale RD3803MMA7660FC evaluation kits to give away to you. The RD3803MMA7660FC is designed to provide the user with a complete out of the box experience to evaluate the MMA7660FC, a low power, 3-axis linear accelerometer with I2C digital output. ",http://www.element14.com/community/thread/32737?start=0&tstart=0,3,4,2014,111
"Without the ability to change the OTP boot bits in the SoC, what you'd normally do is to have u-Boot in SPI flash with a bootscript that will then load the OS from a device of your choosing. Whan updating the image or the u-boot on the SSD, what is the best method (via a PC or via the Freescale processor).u-boot is unlikely to be on the SSD, but assuming it were, why wouldn't you just copy a new version onto the SSD from within the booted OS ? When developing for Linux on the Freescal, do I need to have a JTAG cable? ",http://www.element14.com/community/thread/26552?start=0&tstart=0,23,8,2013,1311
18 teams registered so far and more to come..... The 1st EMEA Freescale Cup is alive! ! ,http://www.element14.com/community/thread/12636?start=0&tstart=0,21,9,2011,32
They all seem to have parallel or some variant of MIPI interface. I've found some posts on the Freescale board that might help me. https://community.freescale.com/thread/308589https://community.freescale.com/message/348805#348805https://community.freescale.com/thread/310492 ,http://www.element14.com/community/thread/32894?start=0&tstart=0,24,4,2014,112
"I hope to document my progress in this forum. My only other experience configuring and building an embedded Linux/Android device is with the Beaglebone Black so I will be learning about the I.MX 6 and RIoT Board along the way. My plan is to make a ""shield"" or ""cape"" style adapter board which breaks out all of my required I/Os and allows me to connect a parallel RGB LCD and capacitive touch panel. ",http://www.element14.com/community/thread/32894?start=0&tstart=0,8,4,2014,311
"I am looking for a microcontroller to develop an application with a touch sensor function and I discovered that Freescale provide a Touch Sensor Software Library for their MCU.My question is : ""what is the memory requirement for this TSS Library ? "" ",http://www.element14.com/community/thread/17913?start=0&tstart=0,23,4,2012,1
"I think it'd be a shame to have to do that, especially when it seems that the BeagleBone Black will soon increase to a price very similar to the RIoT. The RIoTboard could take advantage of the BBB's price increase, but unlikely to do so if the focus stays with Android or increasingly out of date 3.0.35 linux kernels.A lot of the other i.MX6 boards like wandboard, Sabre-Lite, etc. are already represented upstream so it's puzzling why the RIoT isn't. ",http://www.element14.com/community/thread/32447?start=0&tstart=0,27,3,2014,11
"Hello, may I ask you for a little help with creating rootfs using debootstrap? I managed to download ubuntu rootfs using debootstrap, but I was not able to run qemu with compiled kernel 3.0.35 for RiotBoard. I tried kernel from ubuntu sites Index of /ubuntu-ports/dists/precise/main/installer-armel/current/images/linaro-vexpress/netboot which works in qemu, but when I finished debootstrap --second-stage, tarball rootfs and flash it to RiotBoard, during boot it hangs with message Freeing init memory: 212K So if you are able to write some steps how to go through this. It would be nice. ",http://www.element14.com/community/thread/32011?start=0&tstart=0,23,3,2014,1112
"Hi, I have an older board (EVM) using the Freescale MSC7119 DSP.The board has a built-in parallel-port debugger connection. The problem is that my new computer doesn't feature a parallel-port anymore so I won't be able to use this board in my signal processing projects.Can anyone suggest an affordable debugger? ",http://www.element14.com/community/thread/18772?start=0&tstart=0,22,6,2012,11
"The boot process begins but hangs on the line:
Freeing init memory: 252k
 I've pasted the entire boot log here. RIotBoard Android Boot Log (Hanging) - Pastebin.com Going through the manual I noticed section 5.2.2 1) which says to change the BUILD_TARGET_LOCATION in /device/fsl/riot_6solo/BoardConfig.mk. (The directory is actually /device/fsl/RIotBoard_6solo/) I double checked and saw that I still had:
BUILD_TARGET_LOCATION ?= sdmmc
 So I went back to MFGtool and tried to write a card in the SD slot. It didn't work. ",http://www.element14.com/community/thread/32894?start=0&tstart=0,21,5,2014,112112
The problem is that my new computer doesn't feature a parallel-port anymore so I won't be able to use this board in my signal processing projects.Can anyone suggest an affordable debugger? IMO the Freescale USBTAP (which is the Freescale suggested tool) is much too expensive and instead of paying $500 for this debugger I would rather buy a cheaper DSP evaluation kit. Thanks ,http://www.element14.com/community/thread/18772?start=0&tstart=0,22,6,2012,102
"Is there any plan, Roadmap or hack for supporting wifi on the riotboard with android? WiFiWiFi$j(document).ready(function() {productSearch.enableProductLinkIfAvailable('addProduct-UC0R5KT9','2133900','2133900');});
 support on Riotboard will be available and we are working on it. Will there be ANY continuously support for the boards like android updates? ",http://www.element14.com/community/thread/33334?start=0&tstart=0,28,4,2014,1211
"Image available: info@prismapr.comVisit Altium at embedded world 25 – 27 February 2014, Stand 4-206 Press Release 21/2013Altium announces new release of TASKING C compiler for Power Architecture New TASKING Compiler Re-enforces Altium’s Position as the  Premier Vendor for Advanced  32-bit Multi-Core MicroprocessorsSydney, Australia – 17 December 2013 -  Altium Limited,, a global leader in Smart System Design Automation, 3D PCB design (Altium Designer) and embedded software development (TASKING) announces a new major release of its TASKING C compiler solution for automotive application development, supporting the Power Architecture®  based microcontrollers from the Freescale Qorivva/5xxx series and STMicroelectronics SPC5 series.In addition to various improvements on code optimizations for speed and size, the new compiler brings device support for the MPC56xx and SPC56x microcontroller series, while also allowing users to develop applications already for new devices by selecting the corresponding e200 core level.With this new release of its VX-toolset, Altium is now driving  the  industry trend to bring toolsets under the Eclipse IDE, through a plug-in that enables a seamless integration of the compiler tools and the simulator user-interface into the Eclipse framework. The TASKING compiler plug-in enables customization and optimization of the build process by selecting the compiler chain options from a configuration explorer tree. ",http://www.element14.com/community/thread/29416?start=0&tstart=0,17,12,2013,21
"Hi, more information is loaded into StreetSmarts into the TFC (The Freescale Cup) EMEA Group. I invite you to join. ",http://www.element14.com/community/thread/12636?start=0&tstart=0,21,9,2011,12
"At this time there are numerous alternatives available, so e14 needs to step up now or they could lose ground in this IoT ""revolution"". It's obvious that a lot of work went into development on the RiotBoard. I don't believe that they will allow it to die for lack of support. ",http://www.element14.com/community/thread/32447?start=30&tstart=0,13,4,2014,111
"I guess you are referring MFG tool as installation tool.MFG needs two configuration files [ cfg.ini  & ucl2.xml ] to proceed with installation.cfg.ini is available in MFGTools directory ""/Mfgtools-Rel-4.1.0_130816_MX6DL_UPDATE""  and has below contents in it. [profiles]
chip = MX6DL Linux Update
 
[platform]
board = RIOT
 
[LIST]
name = i.MX6SOLO-ubuntu-RIOT-eMMC
 the name (i.MX6SOLO-ubuntu-RIOT-eMMC) in ""cfg.ini"" is used a candidate for profile selection in the next step. the other file is present as ucl2.txt in MFGTools directory ""/Mfgtools-Rel-4.1.0_130816_MX6DL_UPDATER/Profiles/MX6DL Linux Update/OS Firmware"".rename the file from ucl2.txt  to ucl2.xml .after renaming the MFGTools will be able to recognize the board.the ""ucl2.xml"" contains the instructions to erase eMMC and install firmware (linux/android).the instuctions are available under ""i.MX6SOLO-ubuntu-RIOT-eMMC"" (~line 934) and looks like below <LIST name=""i.MX6SOLO-ubuntu-RIOT-eMMC"" desc=""Choose eMMC as media"">      <CMD state=""BootStrap"" type=""boot"" body=""BootStrap"" file =""u-boot-mx6solo-riot.bin"" >Loading U-boot</CMD>    <CMD state=""BootStrap"" type=""load"" file=""uImage"" address=""0x10800000""MFG flasher will flash files in ""/Mfgtools-Rel-4.1.0_130816_MX6DL_UPDATER/Profiles/MX6DL Linux Update/OS Firmware""  according to above instructions.please check the ucl2.xml file to get more details. SW1 is in the correct state for serial download. ",http://www.element14.com/community/thread/32447?start=30&tstart=0,9,4,2014,1111112
"Even people who have not officially been selected as RoadTester may acquiere a certain product at a later time and may have valuabe feedback. For instance, I remember the freescale FRDM-KL25Z board. Even though I was not an official RoadTester, I did have one of the boards and did blog about it. ",http://www.element14.com/community/thread/21990?start=0&tstart=0,5,2,2013,111
Freescale: Userguide for Demonstration Board DEMO9S08DZ60 Not FoundThe requested URL /community/servlet/JiveServlet/downloadBody/30033-102-4-243597/Freescale/HCS08/S08AD/MC9S08DZ60/Development Kits/DEMO9S08DZ60/Learning Centre/User Manuals/Freescale.User_Guide_1.pdf was not found on this server. ,http://www.element14.com/community/thread/29225?start=0&tstart=0,12,12,2013,121
"Good morning everyone, I am interested in using the ""element14: Development platform for i.MX 6Quad - Built to Freescale SABRE Lite design"" for audio acquisition and streaming. I would like to use MPlayer and icecast, liquidsoap or httpd. ",http://www.element14.com/community/thread/22216?start=0&tstart=0,17,2,2013,11
"Before I start, let me say that I'm brand new to Freescale, Eclipse, and the Freedom board.I thought the board and tool chain would give me an opportunity to learn something new about the Freescale hardware and Eclipse/CodeWarrior IDE. I have to say that after about a week of spending my free time coming up the learning curve, I'm really disappointed on multiple fronts. ",http://www.element14.com/community/thread/20576?start=0&tstart=0,5,11,2012,11
"Adeneo is a member of the Freescale ""Design Alliance"" program and the official partner of Freescale for Windows Embedded Compact, Android and Embedded Linux developments on i.MX architectures. Leveraging Adeneo’s extensive software and system integration expertise for ARM Freescale processors, congatec initially offers BSPs for the conga-QMX6 Qseven modules based on the ARM Cortex-A9 Freescale i.MX6x series. Sporting a sophisticated high-end, 3D-ready HD graphics core, the conga-QMX6 Computer-on-Modules (COMs) are designed for advanced multi-media applications. ",http://www.element14.com/community/thread/20734?start=0&tstart=0,15,11,2012,111
"After that you got a scope showing X,Y,Z and some other threshold information for the axis.I am interested because I want to develop someting like a game (snake...), and use X,Y, Z values to move on a small display...For sure I plan to reuse the sensor module because the sensor itself seems impossible to be soldered by hand !I had a look on the CD and no source code, it's a shame ! But I also have to look on freescale website ...On the CD there is a small Video but as all the previous reviews said it was bad, I didn't watch it yet !I will try to connect it to a pic in the next few days !Thanks to element 14 for this roadtest !RegardsOzone ",http://www.element14.com/community/thread/3029?start=0&tstart=0,26,7,2010,111322
"If you are interested in a Freescale Product or just looking for the right Tower Modules to develop your project,don't hesitate to post on this discussion and I will provide you some recommandations to Customize the best Tower Kit (choose the right Controller and Processor, General Peripheral, Wireless Peripheral and Plug In Modules) corresponding to your needs. ",http://www.element14.com/community/thread/17786?start=0&tstart=0,16,4,2012,1
"Since both the RIotBoard and the pcduino have a single core 1 ghz processor with 1 gb of ram, and since Mark had no problems, I would think the over performance of the RIotBoard should be just fine. I am curious about the other Freescale board that Element14 is involved with; the dual core MarS Board. ",http://www.element14.com/community/thread/31606?start=0&tstart=0,23,2,2014,12
Freescale: Product Brief for S08 - The Evolution of 8 bit Automative Microcontrollers Not FoundThe requested URL /community/servlet/JiveServlet/downloadBody/30130-102-3-243537/Freescale/HCS08/S08AW/MC9S08AW60/Learning Centre MCU/Press Release/Freescale_Press_Release_3.pdf was not found on this server. ,http://www.element14.com/community/thread/29227?start=0&tstart=0,12,12,2013,01
"selsinork wrote: The i.MX5-QSB came with thisjust pick the adapter plate for your location. This still lets the manufacturer blindly drop in a single PSU type, but far fewer will get binned 10 seconds after opening the box.And to optimize costs and reduce landfill still further, in each jurisdiction they could add in just the single appropriate adapter plate. ",http://www.element14.com/community/thread/26469?start=0&tstart=0,19,8,2013,11
"Which one is correct?What is the voltage level of VDDHIGH_CAP (and all other _CAP signals)?VDDHIGH_IN is 3V (as per PMIC Output Rails table) so I assume VDDHIGH_CAP to be the same (3V), but on pdf page 8 VDDHIGH_CAP is connected to NVCCLVDS2P5 (LVDS_VPH2.5V) which seems to indicate this is 2.5V?What is the voltage level of NVCC_PLL_OUT?What is the voltage level of VDDUSB?Do you have a complete IOMux file for this board? We've created one from the schematics, but maybe your IOMux file can shed some light on the power levels in the Power Tab of the Freescale IOMux Tool. Thanks! ",http://www.element14.com/community/thread/32447?start=60&tstart=0,25,4,2014,11113
"Thanks to our close cooperation with Freescale, we are now in a position to begin the development of Qseven modules with extremely low levels of power consumption,” said Gerhard Edi, CEO of congatec AG. “In order to also give our customers a massive time-to-market advantage with this platform, we are investing heavily in software support for the ARM processors.”Henri Richard, senior vice president of Sales and Marketing for Freescale said, “Our ecosystem of partners is an integral part of our go-to-market strategy. congatec is an ideal partner in every aspect of our collaboration, and our next generation i.MX products will be introduced into applications more quickly and easily thanks to congatec’s Qseven modules.”The first products resulting from the Freescale collaboration are expected to be available by the middle of 2012.About congatec AGcongatec AG has its head office in Deggendorf, Germany and is a leading supplier of industrial computer modules using the standard form factors Qseven, COM Express, XTX and ETX. congatec’s products can be used in a variety of industries and applications, such as industrial automation, medical technology, automotive supplies, aerospace and transportation. ",http://www.element14.com/community/thread/15498?start=0&tstart=0,22,11,2011,1113111
At P&E Microcomputer Systems: Windows USB Drivers for Freescale's OpenSDA debug/programming interface (Version 11.1)there is nothing to download. ,http://www.element14.com/community/thread/28942?start=0&tstart=0,2,12,2013,1
"Prevas is a renowned solution provider in the Nordic region with a long history of success in embedded systems, industrial IT and consulting services. As a Freescale partner, Prevas is an experienced supplier of innovative ARM solutions, making the company a particularly good fit for congatec. In addition, Prevas has already gained lots of relevant experience from the development of own hardware modules and customized Linux operating systems such as open embedded.“Prevas was founded in 1985 with the aim of helping customers grow through innovation. ",http://www.element14.com/community/thread/22451?start=0&tstart=0,26,2,2013,3311
